codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
HESC-Centro-Coimbra-663,Centro de Estudos Biocinéticos,Ana Maria Miranda Botelho Teixeira,Universidade de Coimbra,http://www.uc.pt/prospecto/unidades/p3_ceb.html,34,18,9,2,Fair
HESC-LVT-Lisboa-715,Centro de Estudos de Doenças Crónicas - CEDOC,Maria João Costa Santos Mattos Marques Gomes,Faculdade de Ciências Médicas - Universidade Nova de Lisboa,n/a,71,33,22,4,Good
HESC-Centro-Coimbra-4066,Centro de Estudos e Investigação em Saúde da Universidade de Coimbra,Pedro Augusto Melo Lopes Ferreira,Universidade de Coimbra,http://www4.fe.uc.pt/ceisuc,14,8,6,1,Good
HESC-Centro-Coimbra-177,Centro de Estudos Farmacêuticos,Maria Luisa Campeão Fernandes Vaz Sá Melo,Universidade de Coimbra,http://www.ff.uc.pt/cef/homepage.htm,107,62,42,6,Good
HESC-Norte-Porto-38,Centro de Farmacologia e Biopatologia Química,Maria Isabel Amorim de Azevedo,Faculdade de Medicina - Universidade do Porto,http://www.cpcb.med.up.pt/,49,32,20,8,Good
SAU-Centro-Coimbra-60,Centro de Gastrenterologia - Coimbra,Maximino José Correia Leitão,Centro de Gastrenterologia - Faculdade de Medicina da Universidade de Coimbra,,12,5,1,7,Fair
HESC-Norte-Porto-776,Centro de Investigação do Instituto Português de Oncologia do Porto (CI-IPOP),Manuel António Rodrigues Teixeira,Centro Regional do Oncologia do Porto - Instituto Português de Oncologia de Francisco Gentil,http://pwp.netcabo.pt/m.a.r.teixeira/CI-IPOP/default.htm,80,17,17,3,Very Good
HESC-Norte-Porto-617,"Centro de Investigação em Actividade Física, Saúde e Lazer",Jorge Mota,Faculdade de Desporto - Universidade do Porto,http://www.fade.up.pt/ciafel,26,12,11,1,Very Good
HESC-Centro-Covilha-709,Centro de Investigação em Ciências da Saúde,João António de Sampaio Rodrigues Queiroz,Universidade da Beira Interior,http://www.fcsaude.ubi.pt/cics/,56,35,26,2,Very Good
HESC-Alentejo-Evora-4079,Centro de Investigação em Ciências e Tecnologias da Saúde,Peter Prosper Auguste Elodie Vogelaere,Universidade de Évora,http://www.cicts.uevora.pt/cicts.htm,24,16,15,2,Fair
